crossing_log_elasticity,d_deficit_d_rho,d_rho_d_log_parameter,difference_step_relative_error,finite_root_d_rho_d_log_parameter,initialisation,maximum_validation_relative_error,observable,parameter,residual_recruitment_log_elasticity,rho,uncertainty_interval
-0.0059549519812578154,1.9510582154119716,-0.0053301148778338225,9.759883865325786e-08,-0.005330123509783569,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6194652394614895e-06,adaptive,NBC_capacity,0.05079816479872231,0.8950726881777452,Not established; local sensitivity only
-0.005954355602549772,1.9511913898984101,-0.005329628354808632,9.750500105078778e-08,-0.0053296370627897716,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6338788246543827e-06,sampled,NBC_capacity,0.050797372083108326,0.8950806284606818,Not established; local sensitivity only
-0.005056860524585946,1.9510582154119716,-0.0045262577434810655,3.756482004376757e-08,-0.004526265053206302,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6149573987904702e-06,adaptive,AE4_carrier,0.043137079039520944,0.8950726881777452,Not established; local sensitivity only
-0.005056565650104588,1.9511913898984101,-0.0045260339599483106,3.7564113455044606e-08,-0.00452604133505119,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6294819983155604e-06,sampled,AE4_carrier,0.04313821073787308,0.8950806284606818,Not established; local sensitivity only
-0.002192639535490458,1.9510582154119716,-0.001962571763236247,6.6687171300964595e-09,-0.001962574952552032,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.635101595967887e-06,adaptive,NKCC_scale,0.01870410791196874,0.8950726881777452,Not established; local sensitivity only
-0.002193026362940475,1.9511913898984101,-0.0019629354151716035,1.5348654531912236e-08,-0.0019629386331931897,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6481070909517436e-06,sampled,NKCC_scale,0.018708989449445948,0.8950806284606818,Not established; local sensitivity only
0.0008017915505473235,1.9510582154119716,0.0007176617185065953,5.574110139012808e-08,0.0007176628820104725,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.621444021902045e-06,adaptive,NHE_carrier,-0.006839608354041348,0.8950726881777452,Not established; local sensitivity only
0.0008017936953752723,1.9511913898984101,0.0007176700047523112,5.609343149629643e-08,0.0007176711785961132,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6357217657716296e-06,sampled,NHE_carrier,-0.0068402049518888584,0.8950806284606818,Not established; local sensitivity only
-0.035582507511579285,1.9510582154119716,-0.03184893065049408,4.2944926030023526e-07,-0.03184898215879972,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6172669313174273e-06,adaptive,pump_capacity,0.30353327553502624,0.8950726881777452,Not established; local sensitivity only
-0.03558369876170064,1.9511913898984101,-0.03185027945057859,4.294214153288184e-07,-0.031850331419502886,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6316603934630746e-06,sampled,pump_capacity,0.3035691024763983,0.8950806284606818,Not established; local sensitivity only
0.09833199985459534,1.9510582154119716,0.0880142874437463,3.959882331541749e-08,0.08801443200956438,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.705185725536327e-06,adaptive,CaCC_conductance,-0.8388119919896654,0.8950726881777452,Not established; local sensitivity only
0.09832544308385115,1.9511913898984101,0.08800919938916849,8.32808894883968e-08,0.0880093377702007,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6787120107300739e-06,sampled,CaCC_conductance,-0.8388269782590847,0.8950806284606818,Not established; local sensitivity only
0.007155711843769221,1.9510582154119716,0.006404882235827846,2.6679899237418526e-08,0.006404892603839585,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6187643385094794e-06,adaptive,buffer_pool,-0.06104113528303875,0.8950726881777452,Not established; local sensitivity only
0.007176031672312192,1.9511913898984101,0.006423126939106955,2.4814152355247593e-06,0.0064231373669842995,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6356120709255963e-06,sampled,buffer_pool,-0.06121964747663314,0.8950806284606818,Not established; local sensitivity only
-0.00029752666386114254,1.9510582154119716,-0.00026630799082674923,8.151740510539856e-08,-0.00026630842320241044,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6235898812674865e-06,adaptive,water_apical,0.0025380235727173756,0.8950726881777452,Not established; local sensitivity only
-0.0002946478037628319,1.9511913898984101,-0.0002637335413665952,3.0118296934961536e-07,-0.00026373397199463966,Fixed inherited WT conserved state for WT and null; perturbed WT denominator; no rest solve,1.6328121902417777e-06,sampled,water_apical,0.002513678241655898,0.8950806284606818,Not established; local sensitivity only
