Cl_AE2_fmol_s,Cl_AE4_fmol_s,Cl_NKCC1_fmol_s,anti_cancellation_gate_pass,attempt_id,bath_to_cell_pL_s,bath_to_lumen_pL_s,cell_to_lumen_pL_s,cell_volume_source_pL_s,lumen_outflow_pL_s,lumen_volume_source_pL_s,maximum_ratio,positive_loading_pool_fmol_s,root_id,seed_kind,volume_conservation_residual_pL_s,worst_source
1.2943792406404756e-05,-0.00024268522912095542,0.21054425267343851,True,legacy_00,0.00037093244962372294,2.419695358978174e-05,0.0003709265800774665,5.8695462564210994e-09,0.0003951299961993338,-6.462532085534968e-09,0.9999385260032729,0.21055719646584492,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,inherited_root,0.0,NKCC1_Cl
1.2368934861198939e-05,-0.00011131072586815702,0.20148865164065416,True,legacy_01,0.0001172776812221059,7.650493315328503e-06,0.00011727822712812667,-5.459060207731788e-10,0.00012493760304850554,-8.882605050369169e-09,0.999938616018788,0.20150102057551536,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,inherited_root,0.0,NKCC1_Cl
1.3141495328084916e-05,-0.0002585459351744349,0.2644481100855826,True,legacy_02,0.0015380987872704564,0.00010033594581684836,0.0015380992283398245,-4.410693680949318e-10,0.001638435207634942,-3.3478268985157045e-11,0.999950308427985,0.2644612515809107,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,inherited_root,0.0,NKCC1_Cl
1.2453935641800996e-05,-0.00011085809148632408,0.17201111329145155,True,legacy_03,0.0001072589520781264,6.997357650798221e-06,0.00010726653287344562,-7.580795319215845e-09,0.00011425586375719277,8.026767051063353e-09,0.9999276033171353,0.17202356722709336,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,inherited_root,0.0,NKCC1_Cl
1.2798758795659827e-05,-0.00025089510325579015,0.2243565599265688,True,legacy_04,0.0009300585004976085,6.0671186251252033e-05,0.0009300585369245437,-3.642693514448875e-11,0.000990730052009614,-3.288338184647549e-10,0.9999429567438679,0.22436935868536448,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,inherited_root,-1.0842021724855044e-19,NKCC1_Cl
1.2163357727243573e-05,-0.00011698612221118678,0.19593328745569386,True,legacy_05,0.00014700904126678437,9.58980785108224e-06,0.0001470067136339003,2.327632884070556e-09,0.00015659899213829598,-2.470653313445953e-09,0.9999379247761213,0.1959454508134211,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,inherited_root,0.0,NKCC1_Cl
1.3008821992108548e-05,-0.00024324162323573418,0.22615711281139278,True,legacy_06,0.001135936132956516,7.410149156447573e-05,0.001135938489822838,-2.3568663221149727e-09,0.0012100400892631064,-1.0787579250021162e-10,0.9999424821373479,0.2261701216333849,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,inherited_root,0.0,NKCC1_Cl
1.2269329223618281e-05,-0.00011710321867091585,0.06149843571269494,True,legacy_07,0.00014957074389715784,9.757059383615568e-06,0.00014957077760429456,-3.3707136718299016e-11,0.0001593283494083886,-5.124204784719578e-10,0.9998005334321033,0.06151070504191856,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,inherited_root,0.0,NKCC1_Cl
1.3034853391594906e-05,-0.000246147270968171,0.12660535895427474,True,legacy_08,0.0001446393664694767,9.435800563970815e-06,0.00014464659992932867,-7.233459851956796e-09,0.00015407570425936823,6.696233931252236e-09,0.9998970540298323,0.12661839380766635,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,inherited_root,0.0,NKCC1_Cl
1.2340128952208346e-05,-0.00012045365451290093,0.08569411577677002,True,legacy_09,0.00017540374268114076,1.1441790988837964e-05,0.00017539627897066566,7.463710475103533e-09,0.00018684599011028759,-7.92015078396541e-09,0.9998560186765185,0.08570645590572223,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,inherited_root,0.0,NKCC1_Cl
